technology,scenario,year,locs,unit,total_investment_cost
hydro_run_of_river,climate_neutrality,2050,IRL,billion_2015eur,0.12669184684281903
hydro_run_of_river,climate_neutrality,2050,ITA,billion_2015eur,4.075899596738121
hydro_run_of_river,climate_neutrality,2050,LVA,billion_2015eur,0.3766149761933987
hydro_run_of_river,climate_neutrality,2050,POL,billion_2015eur,0.008446339425454157
hydro_run_of_river,climate_neutrality,2050,PRT,billion_2015eur,0.9475494378452508
hydro_run_of_river,climate_neutrality,2050,ROU,billion_2015eur,0.5105505466867215
hydro_run_of_river,climate_neutrality,2050,SVK,billion_2015eur,0.376163343220857
hydro_run_of_river,climate_neutrality,2050,SVN,billion_2015eur,0.4866403932767792
hydro_run_of_river,climate_neutrality,2050,SWE,billion_2015eur,1.1471830154535554
nuclear,climate_neutrality,2050,BGR,billion_2015eur,0.00021628233807038244
nuclear,climate_neutrality,2050,CZE,billion_2015eur,2.2009975784141753
nuclear,climate_neutrality,2050,FIN,billion_2015eur,0.00022674434224506814
nuclear,climate_neutrality,2050,FRA,billion_2015eur,7.772597118263686
nuclear,climate_neutrality,2050,GBR,billion_2015eur,3.1442720946782377
nuclear,climate_neutrality,2050,HUN,billion_2015eur,0.847893598564918
nuclear,climate_neutrality,2050,ROU,billion_2015eur,0.22965000863554422
nuclear,climate_neutrality,2050,SVK,billion_2015eur,0.33209644029279767
battery,climate_neutrality,2050,AUT,billion_2015eur,1.0740449814086954
battery,climate_neutrality,2050,BEL,billion_2015eur,0.14699901162525966
battery,climate_neutrality,2050,BGR,billion_2015eur,0.18156942758788583
battery,climate_neutrality,2050,CYP,billion_2015eur,0.001811677037145443
battery,climate_neutrality,2050,CZE,billion_2015eur,0.13774303124640003
battery,climate_neutrality,2050,DEU,billion_2015eur,0.8680594223532999
battery,climate_neutrality,2050,DNK,billion_2015eur,0.001711735373198547
battery,climate_neutrality,2050,ESP,billion_2015eur,1.2384108293275644
battery,climate_neutrality,2050,EST,billion_2015eur,0.0008826438153014755
battery,climate_neutrality,2050,FIN,billion_2015eur,0.0015998941066283244
battery,climate_neutrality,2050,FRA,billion_2015eur,2.8108361017104455
battery,climate_neutrality,2050,GBR,billion_2015eur,0.4055439669694041
battery,climate_neutrality,2050,GRC,billion_2015eur,0.09791869825280174
battery,climate_neutrality,2050,HRV,billion_2015eur,0.13846979956623068
battery,climate_neutrality,2050,HUN,billion_2015eur,0.14153496077257288
battery,climate_neutrality,2050,IRL,billion_2015eur,0.03971562398873397
battery,climate_neutrality,2050,ITA,billion_2015eur,4.549959582098391
battery,climate_neutrality,2050,LTU,billion_2015eur,0.13705781293001787
battery,climate_neutrality,2050,LUX,billion_2015eur,0.1410020827856368
battery,climate_neutrality,2050,LVA,billion_2015eur,0.0007412380691761995
battery,climate_neutrality,2050,NLD,billion_2015eur,0.007421131379447406
battery,climate_neutrality,2050,POL,billion_2015eur,0.21213109503604652
battery,climate_neutrality,2050,PRT,billion_2015eur,0.47631352165208296
battery,climate_neutrality,2050,ROU,billion_2015eur,0.07717003626027745
battery,climate_neutrality,2050,SVK,billion_2015eur,0.109025370404047
battery,climate_neutrality,2050,SVN,billion_2015eur,0.05612923151955895
battery,climate_neutrality,2050,SWE,billion_2015eur,0.43555439026470383
heat_storage_big,climate_neutrality,2050,AUT,billion_2015eur,0.2010873478236927
heat_storage_big,climate_neutrality,2050,BEL,billion_2015eur,0.12202997092616821
heat_storage_big,climate_neutrality,2050,BGR,billion_2015eur,0.05260356643870637
heat_storage_big,climate_neutrality,2050,CYP,billion_2015eur,0.01974636536935998
heat_storage_big,climate_neutrality,2050,CZE,billion_2015eur,0.1865734286583129
heat_storage_big,climate_neutrality,2050,DEU,billion_2015eur,0.9542031794862722
heat_storage_big,climate_neutrality,2050,DNK,billion_2015eur,0.04678117748177189
heat_storage_big,climate_neutrality,2050,ESP,billion_2015eur,0.16037547154035367
heat_storage_big,climate_neutrality,2050,EST,billion_2015eur,0.012879587871461137
heat_storage_big,climate_neutrality,2050,FIN,billion_2015eur,0.24277263172250765
heat_storage_big,climate_neutrality,2050,FRA,billion_2015eur,0.5104207363200783
heat_storage_big,climate_neutrality,2050,GBR,billion_2015eur,0.5434755919154081
heat_storage_big,climate_neutrality,2050,GRC,billion_2015eur,0.11854695992224164
heat_storage_big,climate_neutrality,2050,HRV,billion_2015eur,0.008320311596933265
heat_storage_big,climate_neutrality,2050,HUN,billion_2015eur,0.0596852595886556
heat_storage_big,climate_neutrality,2050,IRL,billion_2015eur,0.06999412936351745
heat_storage_big,climate_neutrality,2050,ITA,billion_2015eur,0.22987501477215105
heat_storage_big,climate_neutrality,2050,LTU,billion_2015eur,0.05208302838014066
heat_storage_big,climate_neutrality,2050,LUX,billion_2015eur,0.01007872279388395
heat_storage_big,climate_neutrality,2050,LVA,billion_2015eur,0.008413863952322034
heat_storage_big,climate_neutrality,2050,NLD,billion_2015eur,0.19404344444024196
heat_storage_big,climate_neutrality,2050,POL,billion_2015eur,0.8708418471234042
heat_storage_big,climate_neutrality,2050,PRT,billion_2015eur,0.09530471933275031
heat_storage_big,climate_neutrality,2050,ROU,billion_2015eur,0.25526339069861365
heat_storage_big,climate_neutrality,2050,SVK,billion_2015eur,0.0695553997749045
heat_storage_big,climate_neutrality,2050,SVN,billion_2015eur,0.008611102316723702
heat_storage_big,climate_neutrality,2050,SWE,billion_2015eur,0.21564866539953575
hydrogen_storage,climate_neutrality,2050,AUT,billion_2015eur,0.0007044339474402558
hydrogen_storage,climate_neutrality,2050,BEL,billion_2015eur,0.00023466534027298088
hydrogen_storage,climate_neutrality,2050,BGR,billion_2015eur,0.00023732800861714395
hydrogen_storage,climate_neutrality,2050,CYP,billion_2015eur,0.00024790747652706673
hydrogen_storage,climate_neutrality,2050,CZE,billion_2015eur,0.00046966176943160644
hydrogen_storage,climate_neutrality,2050,DEU,billion_2015eur,0.0016396013349457789
hydrogen_storage,climate_neutrality,2050,DNK,billion_2015eur,0.0004753959505539099
hydrogen_storage,climate_neutrality,2050,ESP,billion_2015eur,0.0026060871526224407
hydrogen_storage,climate_neutrality,2050,EST,billion_2015eur,0.00027247117005249253
hydrogen_storage,climate_neutrality,2050,FIN,billion_2015eur,0.0005301693546928971
hydrogen_storage,climate_neutrality,2050,FRA,billion_2015eur,0.0035296293752558367
hydrogen_storage,climate_neutrality,2050,GBR,billion_2015eur,0.0014206572206438082
hydrogen_storage,climate_neutrality,2050,GRC,billion_2015eur,0.00047365113143144256
hydrogen_storage,climate_neutrality,2050,HRV,billion_2015eur,0.00023728608105911758
hydrogen_storage,climate_neutrality,2050,HUN,billion_2015eur,0.00023674215822226373
hydrogen_storage,climate_neutrality,2050,IRL,billion_2015eur,0.00025570228885891916
hydrogen_storage,climate_neutrality,2050,ITA,billion_2015eur,0.0014281455752636974
hydrogen_storage,climate_neutrality,2050,LTU,billion_2015eur,0.0002800718595385529
hydrogen_storage,climate_neutrality,2050,LUX,billion_2015eur,0.00028668652414990916
hydrogen_storage,climate_neutrality,2050,LVA,billion_2015eur,0.0002380692683362674
hydrogen_storage,climate_neutrality,2050,NLD,billion_2015eur,0.00023371241506203632
hydrogen_storage,climate_neutrality,2050,POL,billion_2015eur,0.0011882190130618584
hydrogen_storage,climate_neutrality,2050,PRT,billion_2015eur,0.00047365880132379135
hydrogen_storage,climate_neutrality,2050,ROU,billion_2015eur,0.0007132168407130929
hydrogen_storage,climate_neutrality,2050,SVK,billion_2015eur,0.0002353758729265011
hydrogen_storage,climate_neutrality,2050,SVN,billion_2015eur,0.0002941568591391153
hydrogen_storage,climate_neutrality,2050,SWE,billion_2015eur,0.0009465893028558328
eu_import,climate_neutrality,2050,AUT,billion_2015eur,0.04668788906198426
eu_import,climate_neutrality,2050,BGR,billion_2015eur,0.07459504673166711
eu_import,climate_neutrality,2050,DEU,billion_2015eur,0.08930196235859328
eu_import,climate_neutrality,2050,DNK,billion_2015eur,0.06037140910710341
eu_import,climate_neutrality,2050,FIN,billion_2015eur,0.013191301265138584
eu_import,climate_neutrality,2050,FRA,billion_2015eur,0.11574443959573424
eu_import,climate_neutrality,2050,GBR,billion_2015eur,0.7354121896106374
eu_import,climate_neutrality,2050,GRC,billion_2015eur,0.024626974602945904
eu_import,climate_neutrality,2050,HRV,billion_2015eur,0.04732601216742924
eu_import,climate_neutrality,2050,HUN,billion_2015eur,0.13804360577376015
eu_import,climate_neutrality,2050,ITA,billion_2015eur,0.2169737525003752
eu_import,climate_neutrality,2050,NLD,billion_2015eur,0.7790359141039259
eu_import,climate_neutrality,2050,ROU,billion_2015eur,0.1335100516498274
eu_import,climate_neutrality,2050,SWE,billion_2015eur,0.1351814563933975
hp,climate_neutrality,2050,AUT,billion_2015eur,1.7354640322460744
hp,climate_neutrality,2050,BEL,billion_2015eur,3.109978205875529
hp,climate_neutrality,2050,BGR,billion_2015eur,0.31730462112727237
hp,climate_neutrality,2050,CYP,billion_2015eur,0.12646966577716168
hp,climate_neutrality,2050,CZE,billion_2015eur,2.09268947817285
hp,climate_neutrality,2050,DEU,billion_2015eur,20.23290153671729
hp,climate_neutrality,2050,DNK,billion_2015eur,1.4040125145129305
hp,climate_neutrality,2050,ESP,billion_2015eur,4.7961804809262105
hp,climate_neutrality,2050,EST,billion_2015eur,0.03886179707164195
hp,climate_neutrality,2050,FIN,billion_2015eur,1.4595115630951985
hp,climate_neutrality,2050,FRA,billion_2015eur,14.30853744847946
hp,climate_neutrality,2050,GBR,billion_2015eur,11.826434878281198
hp,climate_neutrality,2050,GRC,billion_2015eur,1.4197308029986884
hp,climate_neutrality,2050,HRV,billion_2015eur,0.6170892684564946
hp,climate_neutrality,2050,HUN,billion_2015eur,1.9740940140781682
hp,climate_neutrality,2050,IRL,billion_2015eur,0.7108428583789528
hp,climate_neutrality,2050,ITA,billion_2015eur,10.782930963726013
hp,climate_neutrality,2050,LTU,billion_2015eur,0.2079452430034608
hp,climate_neutrality,2050,LUX,billion_2015eur,0.23745506985527046
hp,climate_neutrality,2050,LVA,billion_2015eur,0.01880147152871003
hp,climate_neutrality,2050,NLD,billion_2015eur,4.65468997617795
hp,climate_neutrality,2050,POL,billion_2015eur,6.155987240608576
hp,climate_neutrality,2050,PRT,billion_2015eur,0.6073168772143049
hp,climate_neutrality,2050,ROU,billion_2015eur,1.2730206017651982
hp,climate_neutrality,2050,SVK,billion_2015eur,0.5468357039700547
hp,climate_neutrality,2050,SVN,billion_2015eur,0.11232222223871081
hp,climate_neutrality,2050,SWE,billion_2015eur,1.9369249057099258
electrolysis,climate_neutrality,2050,AUT,billion_2015eur,0.04102117571169334
electrolysis,climate_neutrality,2050,BEL,billion_2015eur,0.005986706963749065
electrolysis,climate_neutrality,2050,BGR,billion_2015eur,0.0019339698761887897
electrolysis,climate_neutrality,2050,CYP,billion_2015eur,0.23693326138767024
electrolysis,climate_neutrality,2050,CZE,billion_2015eur,0.03944530780968741
electrolysis,climate_neutrality,2050,DEU,billion_2015eur,0.1473686127595657
electrolysis,climate_neutrality,2050,DNK,billion_2015eur,6.041196435219318
electrolysis,climate_neutrality,2050,ESP,billion_2015eur,0.4415727935305438
electrolysis,climate_neutrality,2050,EST,billion_2015eur,1.5256096220827515
electrolysis,climate_neutrality,2050,FIN,billion_2015eur,0.002674350343262589
electrolysis,climate_neutrality,2050,FRA,billion_2015eur,0.4389105360263486
electrolysis,climate_neutrality,2050,GBR,billion_2015eur,22.14735755919876
electrolysis,climate_neutrality,2050,GRC,billion_2015eur,0.003488544201995586
electrolysis,climate_neutrality,2050,HRV,billion_2015eur,0.0013866548610794252
electrolysis,climate_neutrality,2050,HUN,billion_2015eur,0.0033373034892531673
electrolysis,climate_neutrality,2050,IRL,billion_2015eur,8.28639801038397
electrolysis,climate_neutrality,2050,ITA,billion_2015eur,1.0464105219563447
electrolysis,climate_neutrality,2050,LTU,billion_2015eur,0.0010124085364491254
electrolysis,climate_neutrality,2050,LUX,billion_2015eur,0.000624550219257491
electrolysis,climate_neutrality,2050,LVA,billion_2015eur,0.0017935441672948358
electrolysis,climate_neutrality,2050,NLD,billion_2015eur,0.0020749006228612584
electrolysis,climate_neutrality,2050,POL,billion_2015eur,0.01004719115041125
electrolysis,climate_neutrality,2050,PRT,billion_2015eur,10.361213834867893
electrolysis,climate_neutrality,2050,ROU,billion_2015eur,3.89061250522105
electrolysis,climate_neutrality,2050,SVK,billion_2015eur,0.002211506628282507
electrolysis,climate_neutrality,2050,SVN,billion_2015eur,0.0010491408398512697
electrolysis,climate_neutrality,2050,SWE,billion_2015eur,0.8616754811382411
hydrogen_to_methane,climate_neutrality,2050,AUT,billion_2015eur,0.015167670995216449
hydrogen_to_methane,climate_neutrality,2050,BEL,billion_2015eur,0.0021399114706924104
hydrogen_to_methane,climate_neutrality,2050,BGR,billion_2015eur,0.0003850234745351191
hydrogen_to_methane,climate_neutrality,2050,CYP,billion_2015eur,0.04102031661625531
hydrogen_to_methane,climate_neutrality,2050,CZE,billion_2015eur,0.014809623483449514
hydrogen_to_methane,climate_neutrality,2050,DEU,billion_2015eur,0.055251493685282475
hydrogen_to_methane,climate_neutrality,2050,DNK,billion_2015eur,1.5262082531198837
hydrogen_to_methane,climate_neutrality,2050,ESP,billion_2015eur,0.01301863084127007
hydrogen_to_methane,climate_neutrality,2050,EST,billion_2015eur,0.085222263187159
hydrogen_to_methane,climate_neutrality,2050,FIN,billion_2015eur,0.0004968164171589643
hydrogen_to_methane,climate_neutrality,2050,FRA,billion_2015eur,0.006456269772007367
hydrogen_to_methane,climate_neutrality,2050,GBR,billion_2015eur,1.375820307412392
hydrogen_to_methane,climate_neutrality,2050,GRC,billion_2015eur,0.0006831772464100805
hydrogen_to_methane,climate_neutrality,2050,HRV,billion_2015eur,0.0003175521413234634
hydrogen_to_methane,climate_neutrality,2050,HUN,billion_2015eur,0.0009010934682744977
hydrogen_to_methane,climate_neutrality,2050,IRL,billion_2015eur,1.1118797217422185
hydrogen_to_methane,climate_neutrality,2050,ITA,billion_2015eur,0.06449235355126974
hydrogen_to_methane,climate_neutrality,2050,LTU,billion_2015eur,0.0002157726296659462
hydrogen_to_methane,climate_neutrality,2050,LUX,billion_2015eur,0.00015463391574626058
hydrogen_to_methane,climate_neutrality,2050,LVA,billion_2015eur,0.0002796430889584264
hydrogen_to_methane,climate_neutrality,2050,NLD,billion_2015eur,0.0006098380845072126
hydrogen_to_methane,climate_neutrality,2050,POL,billion_2015eur,0.0023245834221617494
hydrogen_to_methane,climate_neutrality,2050,PRT,billion_2015eur,0.44026601930806736
hydrogen_to_methane,climate_neutrality,2050,ROU,billion_2015eur,0.09871973472559399
hydrogen_to_methane,climate_neutrality,2050,SVK,billion_2015eur,0.0006831335993711123
hydrogen_to_methane,climate_neutrality,2050,SVN,billion_2015eur,0.00018370005927996973
hydrogen_to_methane,climate_neutrality,2050,SWE,billion_2015eur,0.011143185330710379
